name,longitude,latitude,city,state
Huskisson Pictures,150.6685,-35.0386,Huskisson,
Bundanon Trust,150.4932,-34.8663,Illaroo,
Bankstown Arts Centre,151.0305,-33.919,Sydney,
Canterbury Theatre Guild,151.1189,-33.9135,Sydney,
Horizon Theatre,151.0724,-33.9294,Sydney,
Wiley Park Amphitheatre,151.0731,-33.9278,Sydney,
Sydney Theatre School,151.2004,-33.8878,Sydney,
The Sandstone Cottage,151.202,-33.8855,Sydney,
ARA Darling Quarter Theatre,151.2016,-33.8747,Sydney,
Mov' In Boat,151.2023,-33.872,Sydney,
Aware Super Theatre,151.1999,-33.8752,Sydney,
Sydney Theatre Company,151.206,-33.8558,Sydney,
TikTok Entertainment Centre,151.1987,-33.8741,Sydney,
"The Neilson Nutshell, Pier 2/3",151.2071,-33.8549,Sydney,
The Rebel Theatre,151.2071,-33.8554,Sydney,
Hello Darling,151.2009,-33.8749,Sydney,
Capitol Theatre,151.2061,-33.8798,Sydney,
Sydney Lyric Theatre,151.1959,-33.8683,Sydney,
GPO Sydney,151.207,-33.8675,Sydney,
Griffin Theatre,151.2223,-33.8765,Sydney,
Metro Theatre,151.2064,-33.8756,Sydney,
Monkey Baa Theatre,151.2029,-33.8748,Sydney,
Olympia Theatre,151.2195,-33.8819,Sydney,
Pilgrim Theatre,151.2091,-33.8635,Sydney,
State Theatre,151.2074,-33.871,Sydney,
Sydney Opera House Forecourt,151.215,-33.8571,Sydney,
Telstra Shop,151.207,-33.8688,400 George Street  Sydney,NSW
The Grand Pacific Green Room,151.2193,-33.882,Sydney,
