state,institution,year,faculty,enrolments
New South Wales,The University of New England,2023,Mixed Field Programmes,315
New South Wales,The University of New England,2023,Non-Award Courses,114
New South Wales,The University of New England,2024,Natural and Physical Sciences,2166
New South Wales,The University of New England,2024,Information Technology,735
New South Wales,The University of New England,2024,Engineering and Related Technologies,5
New South Wales,The University of New England,2024,Architecture and Building,428
New South Wales,The University of New England,2024,"Agriculture, Environmental and Related Studies",1310
New South Wales,The University of New England,2024,Health,1497
New South Wales,The University of New England,2024,Education,3970
New South Wales,The University of New England,2024,Management and Commerce,1966
New South Wales,The University of New England,2024,Society and Culture,7091
New South Wales,The University of New England,2024,Creative Arts,215
New South Wales,The University of New England,2024,Mixed Field Programmes,303
New South Wales,The University of New England,2024,Non-Award Courses,110
New South Wales,The University of Newcastle,2020,Natural and Physical Sciences,2125
New South Wales,The University of Newcastle,2020,Information Technology,1545
New South Wales,The University of Newcastle,2020,Engineering and Related Technologies,2608
New South Wales,The University of Newcastle,2020,Architecture and Building,1543
New South Wales,The University of Newcastle,2020,"Agriculture, Environmental and Related Studies",756
New South Wales,The University of Newcastle,2020,Health,9977
New South Wales,The University of Newcastle,2020,Education,4568
New South Wales,The University of Newcastle,2020,Management and Commerce,5031
New South Wales,The University of Newcastle,2020,Society and Culture,8034
New South Wales,The University of Newcastle,2020,Creative Arts,1381
New South Wales,The University of Newcastle,2020,Non-Award Courses,326
New South Wales,The University of Newcastle,2021,Natural and Physical Sciences,2117
New South Wales,The University of Newcastle,2021,Information Technology,1539
New South Wales,The University of Newcastle,2021,Engineering and Related Technologies,2597
New South Wales,The University of Newcastle,2021,Architecture and Building,1537
New South Wales,The University of Newcastle,2021,"Agriculture, Environmental and Related Studies",753
New South Wales,The University of Newcastle,2021,Health,9936
New South Wales,The University of Newcastle,2021,Education,4549
New South Wales,The University of Newcastle,2021,Management and Commerce,5010
New South Wales,The University of Newcastle,2021,Society and Culture,8001
New South Wales,The University of Newcastle,2021,Creative Arts,1375
New South Wales,The University of Newcastle,2021,Non-Award Courses,325
New South Wales,The University of Newcastle,2022,Natural and Physical Sciences,2026
New South Wales,The University of Newcastle,2022,Information Technology,1473
New South Wales,The University of Newcastle,2022,Engineering and Related Technologies,2486
New South Wales,The University of Newcastle,2022,Architecture and Building,1471
New South Wales,The University of Newcastle,2022,"Agriculture, Environmental and Related Studies",721
New South Wales,The University of Newcastle,2022,Health,9511
New South Wales,The University of Newcastle,2022,Education,4355
New South Wales,The University of Newcastle,2022,Management and Commerce,4796
New South Wales,The University of Newcastle,2022,Society and Culture,7659
New South Wales,The University of Newcastle,2022,Creative Arts,1316
New South Wales,The University of Newcastle,2022,Non-Award Courses,311
New South Wales,The University of Newcastle,2023,Natural and Physical Sciences,1964
New South Wales,The University of Newcastle,2023,Information Technology,1427
New South Wales,The University of Newcastle,2023,Engineering and Related Technologies,2410
New South Wales,The University of Newcastle,2023,Architecture and Building,1425
New South Wales,The University of Newcastle,2023,"Agriculture, Environmental and Related Studies",699
New South Wales,The University of Newcastle,2023,Health,9218
New South Wales,The University of Newcastle,2023,Education,4221
New South Wales,The University of Newcastle,2023,Management and Commerce,4648
New South Wales,The University of Newcastle,2023,Society and Culture,7423
New South Wales,The University of Newcastle,2023,Creative Arts,1276
New South Wales,The University of Newcastle,2023,Non-Award Courses,301
New South Wales,The University of Newcastle,2024,Natural and Physical Sciences,2007
New South Wales,The University of Newcastle,2024,Information Technology,1459
New South Wales,The University of Newcastle,2024,Engineering and Related Technologies,2463
New South Wales,The University of Newcastle,2024,Architecture and Building,1457
New South Wales,The University of Newcastle,2024,"Agriculture, Environmental and Related Studies",714
New South Wales,The University of Newcastle,2024,Health,9422
New South Wales,The University of Newcastle,2024,Education,4314
New South Wales,The University of Newcastle,2024,Management and Commerce,4751
New South Wales,The University of Newcastle,2024,Society and Culture,7587
New South Wales,The University of Newcastle,2024,Creative Arts,1304
New South Wales,The University of Newcastle,2024,Non-Award Courses,308
New South Wales,The University of Sydney,2020,Natural and Physical Sciences,9283
New South Wales,The University of Sydney,2020,Information Technology,4904
New South Wales,The University of Sydney,2020,Engineering and Related Technologies,7215
New South Wales,The University of Sydney,2020,Architecture and Building,2877
New South Wales,The University of Sydney,2020,"Agriculture, Environmental and Related Studies",503
New South Wales,The University of Sydney,2020,Health,11522
New South Wales,The University of Sydney,2020,Education,2634
New South Wales,The University of Sydney,2020,Management and Commerce,15045
New South Wales,The University of Sydney,2020,Society and Culture,17517
New South Wales,The University of Sydney,2020,Creative Arts,3794
New South Wales,The University of Sydney,2020,Non-Award Courses,1167
New South Wales,The University of Sydney,2021,Natural and Physical Sciences,9907
New South Wales,The University of Sydney,2021,Information Technology,5234
New South Wales,The University of Sydney,2021,Engineering and Related Technologies,7700
New South Wales,The University of Sydney,2021,Architecture and Building,3070
New South Wales,The University of Sydney,2021,"Agriculture, Environmental and Related Studies",537
New South Wales,The University of Sydney,2021,Health,12297
New South Wales,The University of Sydney,2021,Education,2811
New South Wales,The University of Sydney,2021,Management and Commerce,16056
New South Wales,The University of Sydney,2021,Society and Culture,18694
New South Wales,The University of Sydney,2021,Creative Arts,4049
New South Wales,The University of Sydney,2021,Non-Award Courses,1245
New South Wales,The University of Sydney,2022,Natural and Physical Sciences,9843
New South Wales,The University of Sydney,2022,Information Technology,5200
